城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
郴州市,5849.0,31.71,-0.67,21.04,44.2,4.35,6001.0,32.4,2.59,21.37,0.0,1.56,5922.0,28.11,-1.31,21.64,0.0,1.27,6006.0,29.44,1.41,20.81,38.47,-3.83,,,,
成都市,16029.0,21.62,-3.13,33.69,33.67,3.19,15404.0,11.5,-3.9,33.89,32.79,0.6,15602.0,6.99,1.29,33.63,28.61,-0.78,15484.0,6.28,-0.76,33.92,17.49,0.86,,,,
承德市,9384.0,1.85,8.0,16.95,11.16,-1.38,9662.0,3.74,2.96,16.26,7.82,-4.06,9438.0,4.27,-2.32,16.57,7.35,1.92,9234.0,1.83,-2.16,16.64,9.13,0.42,,,,
澄迈县,13806.0,0.0,3.17,26.31,30.68,9.5,13673.0,0.0,-0.96,26.01,14.27,-1.12,13046.0,0.0,-4.59,26.04,7.18,0.11,12682.0,40.03,-2.79,26.35,3.94,1.18,,,,
池州市,8021.0,25.02,0.69,15.25,17.71,5.9,8024.0,19.38,0.03,15.42,26.44,1.14,8074.0,15.57,0.63,14.73,26.02,-4.47,8190.0,15.77,1.44,15.49,26.14,5.12,,,,
赤峰市,8700.0,16.99,-0.27,20.9,20.66,-1.3,8633.0,15.76,-0.77,20.64,27.25,-1.23,8420.0,12.68,-2.47,20.61,30.41,-0.17,8745.0,17.69,3.86,20.88,14.48,1.31,,,,
崇左市,4182.0,29.43,2.39,14.68,28.53,2.74,4270.0,30.98,2.11,13.74,14.24,-6.43,4502.0,40.79,5.43,14.81,41.54,7.85,4435.0,31.46,-1.48,15.37,23.26,3.78,,,,
滁州市,6575.0,6.27,3.7,14.32,13.11,5.63,6410.0,4.3,-2.51,14.54,19.34,1.51,6523.0,2.85,1.77,15.08,23.12,3.68,6635.0,5.47,1.71,14.96,14.59,-0.75,,,,
楚雄彝族自治州,4856.0,13.88,1.53,10.0,-2.07,0.15,5011.0,17.12,3.19,10.06,-7.43,0.55,4925.0,14.67,-1.72,9.86,-7.52,-1.94,5091.0,16.06,3.37,9.71,-2.94,-1.55,,,,
达州市,7473.0,29.17,0.97,17.1,31.35,-6.05,7538.0,27.54,0.86,17.76,42.72,3.85,7567.0,24.15,0.38,18.37,0.0,3.48,7648.0,21.74,1.07,18.65,35.45,1.52,,,,
大理白族自治州,12050.0,30.97,0.13,23.97,34.43,5.36,12332.0,30.51,2.34,24.09,0.0,0.47,12229.0,32.23,-0.83,23.29,0.0,-3.29,12088.0,24.83,-1.16,23.05,24.31,-1.05,,,,
大连市,14993.0,25.31,2.95,35.65,13.54,-1.97,14716.0,23.6,-1.85,35.38,17.3,-0.77,14790.0,22.61,0.5,35.23,20.8,-0.43,14760.0,18.71,-0.2,35.73,8.41,1.41,,,,
大庆市,5260.0,2.96,-1.25,17.45,19.49,2.22,5462.0,7.75,3.83,17.05,12.64,-2.32,5240.0,1.62,-4.07,17.46,4.58,2.43,5391.0,3.64,2.9,17.22,11.13,-1.41,,,,
大同市,5663.0,19.48,1.17,13.81,8.93,0.29,5603.0,17.64,-1.06,12.95,6.17,-6.2,5681.0,16.84,1.39,12.76,-2.56,-1.49,5739.0,14.82,1.02,12.32,-2.74,-3.46,,,,
大兴安岭地区,2609.0,10.68,6.16,12.72,18.14,-1.79,2552.0,18.43,-2.16,13.28,11.14,4.4,2523.0,10.93,-1.14,13.28,43.44,0.0,2670.0,14.73,5.8,13.28,,,,,,
丹东市,5878.0,7.54,4.42,18.16,18.97,0.38,5760.0,8.49,-2.0,18.4,29.74,1.28,5852.0,6.75,1.59,17.83,28.88,-3.1,5859.0,8.38,0.12,18.55,13.76,4.06,,,,
儋州市,10741.0,0.0,10.38,20.23,10.08,,10105.0,0.0,-5.93,20.76,12.07,2.63,9739.0,48.35,-3.61,21.17,17.46,1.96,8979.0,29.11,-7.81,20.37,5.95,-3.78,,,,
德宏傣族景颇族自治州,4827.0,21.58,2.3,17.06,23.31,-0.61,4842.0,16.09,0.31,16.56,25.06,-2.94,5233.0,23.47,8.07,17.29,47.39,4.4,5592.0,33.06,6.87,16.4,8.7,-5.16,,,,
德阳市,6586.0,32.39,1.29,13.45,11.38,1.19,6552.0,28.31,-0.52,13.47,11.69,0.14,6465.0,22.88,-1.33,14.01,14.13,3.95,6328.0,18.41,-2.12,13.55,14.92,-3.28,,,,
德州市,8085.0,21.62,3.39,12.22,9.46,-1.53,8179.0,19.73,1.17,12.34,9.05,0.95,8136.0,19.33,-0.53,12.35,7.27,0.11,8134.0,20.24,-0.02,12.07,4.43,-2.27,,,,
迪庆藏族自治州,4156.0,9.88,2.95,14.12,16.1,11.35,4409.0,17.32,6.08,13.65,5.98,-3.32,3915.0,-3.04,-11.22,12.1,10.37,-11.35,4296.0,13.83,9.74,12.07,0.53,-0.23,,,,
定安县,10540.0,0.0,5.37,20.03,43.23,7.78,11356.0,0.0,7.74,20.82,48.89,3.94,10945.0,49.39,-3.62,21.52,15.92,3.39,10436.0,49.69,-4.65,19.52,,-9.31,,,,
定西市,4890.0,11.02,2.11,12.3,4.22,1.25,5019.0,10.34,2.63,13.1,17.06,6.53,5017.0,7.66,-0.04,12.61,21.04,-3.8,4997.0,8.48,-0.4,13.25,23.7,5.08,,,,
东方市,16142.0,0.0,7.8,35.02,47.67,15.15,15414.0,0.0,-4.51,34.19,26.38,-2.39,14530.0,0.0,-5.73,32.28,10.59,-5.58,14086.0,,-2.99,30.58,-8.83,-5.28,,,,
